d,Franchise ID,playersPosition,teamPlayersName,MFL_ID,,,,Franchise_ID,FantasyTeamName
AIR PHARAOHS,0035,RB,Jahmyr Gibbs,16162,,,,0010,Big chip the rip 
AIR PHARAOHS,0035,RB,Chase Brown,16181,,,,0011,Tanmaya Hobbs's team
AIR PHARAOHS,0035,RB,Chuba Hubbard,15261,,,,0001,Danielle Nye McGinley's team
AIR PHARAOHS,0035,WR,Matthew Golden,12186,,,,0012,Bobby Ellingwood's team
AIR PHARAOHS,0035,WR,Tetairoa McMillan,17071,,,,0007,Alex Krasnoff's team
AIR PHARAOHS,0035,WR,Ricky Pearsall,16622,,,,0002,Tanmaya Hobbs's team 2
AIR PHARAOHS,0035,TE,Tyler Warren,17102,,,,0006,Farhan Mamun's team
AIR PHARAOHS,0035,WR,Jerry Jeudy,14833,,,,0008,Joe Bob Briggs
AIR PHARAOHS,0035,QB,Justin Fields,15238,,,,0005,Brenna Hamilton's team
AIR PHARAOHS,0035,WR,Stefon Diggs,12186,,,,0004,Erin Vail's team
AIR PHARAOHS,0035,WR,DeVonta Smith,15282,,,,0003,Dan Helinek's team
Alex Krasnoff's team,0007,WR,Ja'Marr Chase,15281,,,,0013,Living on Burrow'd Time
Alex Krasnoff's team,0007,WR,Justin Jefferson,14836,,,,0014,Matt varner's team 1
Alex Krasnoff's team,0007,QB,Jared Goff,12611,,,,0015,Gary Nye's team
Alex Krasnoff's team,0007,WR,Courtland Sutton,13630,,,,0016,Julia Machado 's team
Alex Krasnoff's team,0007,TE,Trey McBride,15794,,,,0017,Tom McGinley's team
Alex Krasnoff's team,0007,RB,RJ Harvey,17068,,,,0018,Dylan Warner's team
Alex Krasnoff's team,0007,RB,TreVeyon Henderson,17043,,,,0019,END ZONE OTIS
Alex Krasnoff's team,0007,QB,Daniel Jones,14059,,,,0020,Big Penix Energy
Alex Krasnoff's team,0007,RB,Cam Skattebo,17045,,,,0021,Becky Royer's team
Alex Krasnoff's team,0007,TE,Kyle Pitts,15329,,,,0022,Barracuda
Alex Krasnoff's team,0007,WR,Tyler Lockett,12187,,,,0023,Jareds Team Joe's Moma
Anthony Williams's team,0028,RB,Saquon Barkley,13604,,,,0024,TK's team
Anthony Williams's team,0028,QB,Jared Goff,12611,,,,0025,Dylan Henson's team
Anthony Williams's team,0028,WR,Ja'Marr Chase,15281,,,,0026,Shannon Nye's team
Anthony Williams's team,0028,TE,Jonnu Smith,13193,,,,0027,Chris’ winning lineup 
Anthony Williams's team,0028,RB,Derrick Henry,12626,,,,0028,Anthony Williams's team
Anthony Williams's team,0028,WR,Tee Higgins,14835,,,,0029,Matt varner's team 2
Anthony Williams's team,0028,WR,DeAndre Hopkins,11232,,,,0030,Prince Of Glenalbyn
Anthony Williams's team,0028,QB,Shedeur Sanders,17031,,,,0009,SlimShady
Anthony Williams's team,0028,TE,Dalton Schultz,13772,,,,0031,Chris Boyer 1
Anthony Williams's team,0028,WR,Tyler Lockett,12187,,,,0032,Chris Boyer 2
Anthony Williams's team,0028,RB,Jordan Mason,15972,,,,0033,Kevin Kettl
Anthony Williams's team,0028,RB,Elijah Mitchell,15263,,,,0034,Dez Nutz
Barracuda,0022,RB,Omarion Hampton,17044,,,,0035,AIR PHARAOHS
Barracuda,0022,RB,Jonathan Taylor,14802,,,,0036,Jewish McCaffrey
Barracuda,0022,RB,Chase Brown,16181,,,,,
Barracuda,0022,WR,Tetairoa McMillan,17071,,,,,
Barracuda,0022,WR,Khalil Shakir,15761,,,,,
Barracuda,0022,WR,Josh Downs,16187,,,,,
Barracuda,0022,QB,Jared Goff,12611,,,,,
Barracuda,0022,WR,Matthew Golden,17075,,,,,
Barracuda,0022,WR,Michael Wilson,16206,,,,,
Barracuda,0022,RB,Chuba Hubbard,15261,,,,,
Barracuda,0022,TE,Jake Ferguson,15799,,,,,
Barracuda,0022,WR,Emeka Egbuka,17081,,,,,
Barracuda,0022,WR,Cedric Tillman,16191,,,,,
Barracuda,0022,RB,J.K. Dobbins,14800,,,,,
Barracuda,0022,WR,Xavier Legette,16639,,,,,
Becky Royer's team,0021,RB,Derrick Henry,12626,,,,,
Becky Royer's team,0021,WR,Davante Adams,11675,,,,,
Becky Royer's team,0021,WR,Mike Evans,11671,,,,,
Becky Royer's team,0021,RB,Alvin Kamara,13132,,,,,
Becky Royer's team,0021,WR,Cooper Kupp,13164,,,,,
Becky Royer's team,0021,RB,Austin Ekeler,13404,,,,,
Becky Royer's team,0021,TE,Mark Andrews,13671,,,,,
Becky Royer's team,0021,TE,Zach Ertz,11247,,,,,
Becky Royer's team,0021,QB,Jared Goff,12611,,,,,
Becky Royer's team,0021,RB,J.K. Dobbins,14800,,,,,
Becky Royer's team,0021,WR,Quentin Johnston,16188,,,,,
Becky Royer's team,0021,WR,Jalen McMillan,16628,,,,,
Becky Royer's team,0021,WR,Allen Lazard,13632,,,,,
Becky Royer's team,0021,RB,Zack Moss,,,,,,
Becky Royer's team,0021,WR,Jalen Coker,16809,,,,,
Big chip the rip ,0010,WR,Drake London,15751,,,,,
Big chip the rip ,0010,RB,Christian McCaffrey,13130,,,,,
Big chip the rip ,0010,QB,Drake Maye,16580,,,,,
Big chip the rip ,0010,RB,Chase Brown,16181,,,,,
Big chip the rip ,0010,RB,TreVeyon Henderson,17043,,,,,
Big chip the rip ,0010,QB,Cameron Ward,17030,,,,,
Big chip the rip ,0010,WR,Matthew Golden,17075,,,,,
