2024_avg_score,byeWeek,MFL_PLAYER_ID,name,NFLPlayerCardInfo,NFLTeamforPlayer,position,match_source
25.6,7,13122,Lamar Jackson,"Lamar did Lamar things... Ran wild, dropped dimes, and made defenses dizzy. Still one the most dangerous dual threats in the game.",BAL,QB,already_had_id
22.5,9,13590,Baker Mayfield,"Baker found redemption in Tampa. Career-high yardage, 41 TDs, and has been running more. Now can he do it again?",TB,QB,matched_from_sheet
18.1,8,,Kyler Murray,"Kyler’s still got the wheels—and when he uses them, defenders panic. If the Cards unleash him, you’re getting 10+ rush TD upside.",ARI,QB,UNMATCHED_needs_id
20,10,13060,Ja'Marr Chase,"He's a walking highlight reel whose fantasy production is as explosive as his on-field personality. Draft him and enjoy the show. He led the NFL in receptions (127), receiving yards (1,708), and receiving touchdowns (17) in 2024",CIN,WR,already_had_id
18.3,10,13116,Patrick Mahomes II,"Still the best QB on Earth. Patrick may not have won fantasy leagues last year, but he’s a postseason assassin with great weapons returning. The calm before the storm?",KC,QB,already_had_id
18.6,14,,Brock Purdy,"Purdy’s combined 51 passing touchdowns over the past two seasons ranks eighth among all quarterbacks (just behind Patrick Mahomes’s 53), and the wily signal caller also offers some sneaky (deceptive, even) rushing value as a bonus. Purdy is a savvy scrambler (61 scrambles in the past two years, 10th most) who can pick up first downs with his legs and extend plays when they break down. He averaged over four fantasy points per game last year just from rushing—and that type of fantasy boost gives him top-10 potential again in 2025.",SF,QB,UNMATCHED_needs_id
21.5,12,16581,Jayden Daniels,Jayden went from NCAA highlight reel to NFL cheat code. Led all rookies in fantasy and runs like he owes defenders money.,WAS,QB,matched_from_sheet
21.3,9,14783,Jalen Hurts,Jalen's got the most unstoppable play in football and a nose for the end zone. Tush push? More like auto TDs.,PHI,QB,matched_from_sheet
22.5,10,13121,Joe Burrow,"Joe looked elite when healthy, averaging 22.5 PPG. If he’s back to full strength, he’s a top-5 lock with top-3 upside.",CIN,QB,already_had_id
22.6,7,13120,Josh Allen,"Josh didn’t just play—he ruled. Josh puts up MVP stats, runs like a RB, and slings like a sniper. Fantasy gold every week.",BUF,QB,already_had_id
15.3,5,16579,Caleb Williams,"There wasn’t a whole lot that went well for Williams during his rookie year, but he did at least flash the fantasy upside that many thought he’d have. Williams notched five top-six weeks, including an overall QB1 performance in Week 6. If Williams can play within his offense more and cut down on sacks in year two under the tutelage of Ben Johnson, he’ll produce a whole lot more spike weeks for your fantasy squad.",CHI,QB,matched_from_sheet
12,9,15238,Justin Fields,"Fields had the second-most rushing yards for a QB ever in 2022 (1,143) and is now the Jets’ starting QB. New York is likely to double down on the run after ranking dead last in rush attempts last year. From Week 5 on in 2022, Fields was behind only Josh Allen, Jalen Hurts, and Patrick Mahomes in points per game.",NYJ,QB,matched_from_sheet
15.6,6,13055,Justin Jefferson,"The only thing more beautiful than his route running is his contract extension. He's the WR1 with the highest floor in fantasy football. He had 103 catches for 1,533 yards and 10 touchdowns in 2024",MIN,WR,already_had_id
19.3,12,16582,Bo Nix,"The Broncos added TE Evan Engram, RB J.K. Dobbins, and drafted RB RJ Harvey and WR Pat Bryant to help Bo Nix follow up his stellar rookie year, which saw him finish as the QB8 in fantasy. Nix looks to be a fantastic fit with Sean Payton, and will use his sneaky rushing ability (430 yards, four TDs) behind one of the league's best offensive lines to provide a high floor in fantasy this season. For the first time since high school, Nix is playing under the same head coach, play caller, and quarterbacks coach for a second straight offseason.",DEN,QB,matched_from_sheet
15.6,10,12620,Dak Prescott,"Prescott led the NFL in passing touchdowns (36) in 2023 while completing nearly 70 percent of his passes, showing he’s still capable of operating a scorching-hot Dallas offense. In addition to CeeDee Lamb, Prescott now has receiver George Pickens to throw to. That’s the best no. 2 wideout for Dallas in years.",DAL,QB,matched_from_sheet
17,12,14779,Justin Herbert,"After overcoming some early-season injuries, from Weeks 7 to 18 Herbert ranked fourth in passing yards per game, ninth in rushing yards per game, and 10th in fantasy points per game at the QB position. This offseason the Chargers added some rookie talent in RB Omarion Hampton and pass catchers Tre Harris and Oronde Gadsden II. Herbert is still on an offense that wants to run the football, but his talent as a thrower and runner keeps him in the mix as a QB1.",LAC,QB,matched_from_sheet
19.8,8,12611,Jared Goff,"Goff is capable of putting up big-time numbers in the passing game, but he’s a zero as a runner. Still he's on one of the best offenses, but we'll see how he does without his offensive coordinator.",DET,QB,matched_from_sheet
14.2,10,13062,CeeDee Lamb,"He's Dak Prescott’s best friend and the Cowboys' entire offense. His volume is a cheat code, and he's a lock for triple-digit receptions. He finished 2024 with 101 catches for 1,194 yards and six touchdowns",DAL,WR,already_had_id
21.2,9,13604,Saquon Barkley,"The Madden Cover star led the NFL in touches in 2024 and held up remarkably. With over 2,000 rushinge yards, Saquon reminded us he’s still elite. Volume and efficiency like that is rare, but can he do it again?",PHI,RB,matched_from_sheet
15.2,8,16211,Puka Nacua,"The league is still trying to figure out if he's actually human. His rookie season was a fluke, and his sophomore season was even better. He’s the real deal.",LAR,WR,matched_from_sheet
19.2,7,13052,Derrick Henry,"The King isn't dead yet, he just moved his kingdom to Baltimore. He's a bulldozer, not a dance partner. Last year at age 30, he rushed for over 1,900 yards ",BAL,RB,already_had_id
13.7,6,16150,C.J. Stroud,"Stroud was spectacular as a rookie, finishing as the QB8 in fantasy points per game by throwing 23 touchdown passes and just five picks while adding three rushing scores. Despite his disappointing sophomore slump in 2024 (he dropped to QB28 in points per game), a top-10 finish remains in Stroud’s range of outcomes. He needs to cut down on sacks and create more big plays, but he still has the talent to bounce back closer to his rookie performance.",HOU,QB,matched_from_sheet
15.2,8,13057,Amon-Ra St. Brown,"The Sun God is a PPR monster. He gets targets, he gets yards, and he gets touchdowns. He's a safe bet for a top-5 WR finish.",DET,WR,already_had_id
18.3,5,13051,Bijan Robinson,"From Week 6 on, he was the RB1 in fantasy. With an actual QB under center, Bijan’s gonna feast. This is the breakout season you were promised.",ATL,RB,already_had_id
14.1,8,16618,Brian Thomas Jr.,"One of the most explosive deep threats in the league, but he'll need to prove he's not a one-trick pony. He'll have some massive weeks and some duds, but his ceiling is worth the risk.",JAC,WR,matched_from_sheet
16.2,5,,Josh Jacobs,"The RB 1 on the Green Bay Packers has led the league in touches, with little competition this year, he could do that again.",GB,RB,UNMATCHED_needs_id
14.7,6,15290,Nico Collins,"He's the clear-cut WR1 in a high-octane offense. The volume is there, the talent is there, and now the stats are too. He had 68 catches for 1,006 yards and seven touchdowns in just 12 games in 2024",HOU,WR,matched_from_sheet
